id_regle,objet_def,id_objet_def,option_def
351,NULL,,NULL
352,NULL,,NULL
353,NULL,,NULL
354,NULL,,NULL
355,NULL,,NULL
356,NULL,,NULL
357,NULL,,NULL
358,NULL,,NULL
359,NULL,,NULL
36,NULL,,NULL
360,NULL,,NULL
361,NULL,,NULL
362,NULL,,NULL
363,NULL,,NULL
364,NULL,,NULL
365,NULL,,NULL
366,NULL,,NULL
367,NULL,,NULL
368,NULL,,NULL
369,NULL,,NULL
37,NULL,,NULL
370,NULL,,NULL
371,NULL,,NULL
372,NULL,,NULL
373,NULL,,NULL
374,NULL,,NULL
375,NULL,,NULL
376,NULL,,NULL
38,NULL,,NULL
39,NULL,,NULL
4,NULL,,NULL
40,NULL,,NULL
41,NULL,,NULL
42,NULL,,NULL
43,NULL,,NULL
44,NULL,,NULL
45,NULL,,NULL
46,NULL,,NULL
47,NULL,,NULL
48,NULL,,NULL
49,NULL,,NULL
5,NULL,,NULL
50,NULL,,NULL
51,NULL,,NULL
52,NULL,,NULL
53,NULL,,NULL
54,NULL,,NULL
55,NULL,,NULL
56,NULL,,NULL
57,NULL,,NULL
58,NULL,,NULL
59,NULL,,NULL
6,NULL,,NULL
60,NULL,,NULL
61,NULL,,NULL
62,NULL,,NULL
63,NULL,,NULL
64,NULL,,NULL
65,NULL,,NULL
66,NULL,,NULL
67,NULL,,NULL
68,NULL,,NULL
69,NULL,,NULL
7,NULL,,NULL
70,NULL,,NULL
71,NULL,,NULL
72,NULL,,NULL
73,NULL,,NULL
74,NULL,,NULL
75,NULL,,NULL
76,NULL,,NULL
77,NULL,,NULL
78,NULL,,NULL
79,NULL,,NULL
8,NULL,,NULL
80,NULL,,NULL
81,NULL,,NULL
82,NULL,,NULL
83,NULL,,NULL
84,NULL,,NULL
85,NULL,,NULL
86,NULL,,NULL
87,NULL,,NULL
88,NULL,,NULL
89,NULL,,NULL
9,NULL,,NULL
90,NULL,,NULL
91,NULL,,NULL
92,NULL,,NULL
93,NULL,,NULL
94,NULL,,NULL
95,NULL,,NULL
96,NULL,,NULL
97,NULL,,NULL
98,NULL,,NULL
99,NULL,,NULL
