id_regle,id_alt,niveau_alt
175,4,1
176,4,2
177,4,2
206,5,1
207,5,1
208,5,1
209,5,1
210,5,1
211,5,1
212,5,1
213,5,1
214,5,1
215,5,2
216,5,2
217,5,2
218,5,2
219,5,2
220,5,2
221,5,2
222,5,2
223,5,2
36,1,1
37,1,2
83,2,1
84,2,1
85,2,2
86,2,2
88,3,1
89,3,2
